id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
6.2	390.06	409.74	424.66	432.82	431.26	428.6	429.74	432.54	430.24	417.08	397.54	385.2
6.3	389.69	409.51	424.59	432.93	431.49	428.9	430.01	432.71	430.26	416.92	397.21	384.8
6.4	389.32	409.28	424.52	433.04	431.72	429.2	430.28	432.88	430.28	416.76	396.88	384.4
6.5	388.95	409.05	424.45	433.15	431.95	429.5	430.55	433.05	430.3	416.6	396.55	384
6.6	388.58	408.82	424.38	433.26	432.18	429.8	430.82	433.22	430.32	416.44	396.22	383.6
6.7	388.21	408.59	424.31	433.37	432.41	430.1	431.09	433.39	430.34	416.28	395.89	383.2
6.8	387.84	408.36	424.24	433.48	432.64	430.4	431.36	433.56	430.36	416.12	395.56	382.8
6.9	387.47	408.13	424.17	433.59	432.87	430.7	431.63	433.73	430.38	415.96	395.23	382.4
7	387.1	407.9	424.1	433.7	433.1	431	431.9	433.9	430.4	415.8	394.9	382
7.1	386.73	407.67	424.03	433.81	433.33	431.3	432.17	434.07	430.42	415.64	394.57	381.6
7.2	386.36	407.44	423.96	433.92	433.56	431.6	432.44	434.24	430.44	415.48	394.24	381.2
7.3	385.99	407.21	423.89	434.03	433.79	431.9	432.71	434.41	430.46	415.32	393.91	380.8
7.4	385.62	406.98	423.82	434.14	434.02	432.2	432.98	434.58	430.48	415.16	393.58	380.4
7.5	385.25	406.75	423.75	434.25	434.25	432.5	433.25	434.75	430.5	415	393.25	380
7.6	384.88	406.52	423.68	434.36	434.48	432.8	433.52	434.92	430.52	414.84	392.92	379.6
7.7	384.51	406.29	423.61	434.47	434.71	433.1	433.79	435.09	430.54	414.68	392.59	379.2
7.8	384.14	406.06	423.54	434.58	434.94	433.4	434.06	435.26	430.56	414.52	392.26	378.8
7.9	383.77	405.83	423.47	434.69	435.17	433.7	434.33	435.43	430.58	414.36	391.93	378.4
8	383.4	405.6	423.4	434.8	435.4	434	434.6	435.6	430.6	414.2	391.6	378
8.1	383.03	405.37	423.33	434.91	435.63	434.3	434.87	435.77	430.62	414.04	391.27	377.6
8.2	382.66	405.14	423.26	435.02	435.86	434.6	435.14	435.94	430.64	413.88	390.94	377.2
8.3	382.29	404.91	423.19	435.13	436.09	434.9	435.41	436.11	430.66	413.72	390.61	376.8
8.4	381.92	404.68	423.12	435.24	436.32	435.2	435.68	436.28	430.68	413.56	390.28	376.4
8.5	381.55	404.45	423.05	435.35	436.55	435.5	435.95	436.45	430.7	413.4	389.95	376
8.6	381.18	404.22	422.98	435.46	436.78	435.8	436.22	436.62	430.72	413.24	389.62	375.6
8.7	380.81	403.99	422.91	435.57	437.01	436.1	436.49	436.79	430.74	413.08	389.29	375.2
8.8	380.44	403.76	422.84	435.68	437.24	436.4	436.76	436.96	430.76	412.92	388.96	374.8
8.9	380.07	403.53	422.77	435.79	437.47	436.7	437.03	437.13	430.78	412.76	388.63	374.4
9	379.7	403.3	422.7	435.9	437.7	437	437.3	437.3	430.8	412.6	388.3	374
9.1	379.33	403.07	422.63	436.01	437.93	437.3	437.57	437.47	430.82	412.44	387.97	373.6
9.2	378.96	402.84	422.56	436.12	438.16	437.6	437.84	437.64	430.84	412.28	387.64	373.2
9.3	378.59	402.61	422.49	436.23	438.39	437.9	438.11	437.81	430.86	412.12	387.31	372.8
9.4	378.22	402.38	422.42	436.34	438.62	438.2	438.38	437.98	430.88	411.96	386.98	372.4
9.5	377.85	402.15	422.35	436.45	438.85	438.5	438.65	438.15	430.9	411.8	386.65	372
9.6	377.48	401.92	422.28	436.56	439.08	438.8	438.92	438.32	430.92	411.64	386.32	371.6
9.7	377.11	401.69	422.21	436.67	439.31	439.1	439.19	438.49	430.94	411.48	385.99	371.2
9.8	376.74	401.46	422.14	436.78	439.54	439.4	439.46	438.66	430.96	411.32	385.66	370.8
9.9	376.37	401.23	422.07	436.89	439.77	439.7	439.73	438.83	430.98	411.16	385.33	370.4
10	376	401	422	437	440	440	440	439	431	411	385	370
10.1	375.58	400.7	421.85	437.02	440.2	440.28	440.25	439.12	430.94	410.76	384.63	369.55
10.2	375.16	400.4	421.7	437.04	440.4	440.56	440.5	439.24	430.88	410.52	384.26	369.1
10.3	374.74	400.1	421.55	437.06	440.6	440.84	440.75	439.36	430.82	410.28	383.89	368.65
10.4	374.32	399.8	421.4	437.08	440.8	441.12	441	439.48	430.76	410.04	383.52	368.2
10.5	373.9	399.5	421.25	437.1	441	441.4	441.25	439.6	430.7	409.8	383.15	367.75
10.6	373.48	399.2	421.1	437.12	441.2	441.68	441.5	439.72	430.64	409.56	382.78	367.3
10.7	373.06	398.9	420.95	437.14	441.4	441.96	441.75	439.84	430.58	409.32	382.41	366.85
10.8	372.64	398.6	420.8	437.16	441.6	442.24	442	439.96	430.52	409.08	382.04	366.4
10.9	372.22	398.3	420.65	437.18	441.8	442.52	442.25	440.08	430.46	408.84	381.67	365.95
11	371.8	398	420.5	437.2	442	442.8	442.5	440.2	430.4	408.6	381.3	365.5
11.1	371.38	397.7	420.35	437.22	442.2	443.08	442.75	440.32	430.34	408.36	380.93	365.05
11.2	370.96	397.4	420.2	437.24	442.4	443.36	443	440.44	430.28	408.12	380.56	364.6
11.3	370.54	397.1	420.05	437.26	442.6	443.64	443.25	440.56	430.22	407.88	380.19	364.15
11.4	370.12	396.8	419.9	437.28	442.8	443.92	443.5	440.68	430.16	407.64	379.82	363.7
11.5	369.7	396.5	419.75	437.3	443	444.2	443.75	440.8	430.1	407.4	379.45	363.25
11.6	369.28	396.2	419.6	437.32	443.2	444.48	444	440.92	430.04	407.16	379.08	362.8
11.7	368.86	395.9	419.45	437.34	443.4	444.76	444.25	441.04	429.98	406.92	378.71	362.35
11.8	368.44	395.6	419.3	437.36	443.6	445.04	444.5	441.16	429.92	406.68	378.34	361.9
11.9	368.02	395.3	419.15	437.38	443.8	445.32	444.75	441.28	429.86	406.44	377.97	361.45
12	367.6	395	419	437.4	444	445.6	445	441.4	429.8	406.2	377.6	361
12.1	367.18	394.7	418.85	437.42	444.2	445.88	445.25	441.52	429.74	405.96	377.23	360.55
12.2	366.76	394.4	418.7	437.44	444.4	446.16	445.5	441.64	429.68	405.72	376.86	360.1
12.3	366.34	394.1	418.55	437.46	444.6	446.44	445.75	441.76	429.62	405.48	376.49	359.65
12.4	365.92	393.8	418.4	437.48	444.8	446.72	446	441.88	429.56	405.24	376.12	359.2
12.5	365.5	393.5	418.25	437.5	445	447	446.25	442	429.5	405	375.75	358.75
12.6	365.08	393.2	418.1	437.52	445.2	447.28	446.5	442.12	429.44	404.76	375.38	358.3
12.7	364.66	392.9	417.95	437.54	445.4	447.56	446.75	442.24	429.38	404.52	375.01	357.85
12.8	364.24	392.6	417.8	437.56	445.6	447.84	447	442.36	429.32	404.28	374.64	357.4
12.9	363.82	392.3	417.65	437.58	445.8	448.12	447.25	442.48	429.26	404.04	374.27	356.95
13	363.4	392	417.5	437.6	446	448.4	447.5	442.6	429.2	403.8	373.9	356.5
13.1	362.98	391.7	417.35	437.62	446.2	448.68	447.75	442.72	429.14	403.56	373.53	356.05
13.2	362.56	391.4	417.2	437.64	446.4	448.96	448	442.84	429.08	403.32	373.16	355.6
13.3	362.14	391.1	417.05	437.66	446.6	449.24	448.25	442.96	429.02	403.08	372.79	355.15
13.4	361.72	390.8	416.9	437.68	446.8	449.52	448.5	443.08	428.96	402.84	372.42	354.7
13.5	361.3	390.5	416.75	437.7	447	449.8	448.75	443.2	428.9	402.6	372.05	354.25
13.6	360.88	390.2	416.6	437.72	447.2	450.08	449	443.32	428.84	402.36	371.68	353.8
13.7	360.46	389.9	416.45	437.74	447.4	450.36	449.25	443.44	428.78	402.12	371.31	353.35
13.8	360.04	389.6	416.3	437.76	447.6	450.64	449.5	443.56	428.72	401.88	370.94	352.9
13.9	359.62	389.3	416.15	437.78	447.8	450.92	449.75	443.68	428.66	401.64	370.57	352.45
14	359.2	389	416	437.8	448	451.2	450	443.8	428.6	401.4	370.2	352
14.1	358.78	388.7	415.85	437.82	448.2	451.48	450.25	443.92	428.54	401.16	369.83	351.55
14.2	358.36	388.4	415.7	437.84	448.4	451.76	450.5	444.04	428.48	400.92	369.46	351.1
14.3	357.94	388.1	415.55	437.86	448.6	452.04	450.75	444.16	428.42	400.68	369.09	350.65
14.4	357.52	387.8	415.4	437.88	448.8	452.32	451	444.28	428.36	400.44	368.72	350.2
14.5	357.1	387.5	415.25	437.9	449	452.6	451.25	444.4	428.3	400.2	368.35	349.75
14.6	356.68	387.2	415.1	437.92	449.2	452.88	451.5	444.52	428.24	399.96	367.98	349.3
14.7	356.26	386.9	414.95	437.94	449.4	453.16	451.75	444.64	428.18	399.72	367.61	348.85
14.8	355.84	386.6	414.8	437.96	449.6	453.44	452	444.76	428.12	399.48	367.24	348.4
