id	Jan	Feb	Mar	April	May	June	Jul	Aug	Sept	Oct	Nov	Dec
37.9	143.4341	201.2839	269.8595	345.166468	397.8354	421.69655	413.4095	372.9795	306.3535	231.08065	162.7921	130.4782
38	142.84	200.72	269.4	344.8958	397.76	421.72	413.4	372.8	305.98	230.56	162.2	129.88
38.1	142.2461	200.1559	268.9395	344.623968	397.6834	421.74255	413.3895	372.6195	305.6055	230.03865	161.6081	129.2822
38.2	141.6524	199.5916	268.478	344.350972	397.6056	421.7642	413.378	372.438	305.23	229.5166	161.0164	128.6848
38.3	141.0589	199.0271	268.0155	344.076812	397.5266	421.78495	413.3655	372.2555	304.8535	228.99385	160.4249	128.0878
38.4	140.4656	198.4624	267.552	343.801488	397.4464	421.8048	413.352	372.072	304.476	228.4704	159.8336	127.4912
38.5	139.8725	197.8975	267.0875	343.525	397.365	421.82375	413.3375	371.8875	304.0975	227.94625	159.2425	126.895
38.6	139.2796	197.3324	266.622	343.247348	397.2824	421.8418	413.322	371.702	303.718	227.4214	158.6516	126.2992
38.7	138.6869	196.7671	266.1555	342.968532	397.1986	421.85895	413.3055	371.5155	303.3375	226.89585	158.0609	125.7038
38.8	138.0944	196.2016	265.688	342.688552	397.1136	421.8752	413.288	371.328	302.956	226.3696	157.4704	125.1088
38.9	137.5021	195.6359	265.2195	342.407408	397.0274	421.89055	413.2695	371.1395	302.5735	225.84265	156.8801	124.5142
39	136.91	195.07	264.75	342.1251	396.94	421.905	413.25	370.95	302.19	225.315	156.29	123.92
39.1	136.3181	194.5039	264.2795	341.841628	396.8514	421.91855	413.2295	370.7595	301.8055	224.78665	155.7001	123.3262
39.2	135.7264	193.9376	263.808	341.556992	396.7616	421.9312	413.208	370.568	301.42	224.2576	155.1104	122.7328
39.3	135.1349	193.3711	263.3355	341.271192	396.6706	421.94295	413.1855	370.3755	301.0335	223.72785	154.5209	122.1398
39.4	134.5436	192.8044	262.862	340.984228	396.5784	421.9538	413.162	370.182	300.646	223.1974	153.9316	121.5472
39.5	133.9525	192.2375	262.3875	340.6961	396.485	421.96375	413.1375	369.9875	300.2575	222.66625	153.3425	120.955
39.6	133.3616	191.6704	261.912	340.406808	396.3904	421.9728	413.112	369.792	299.868	222.1344	152.7536	120.3632
39.7	132.7709	191.1031	261.4355	340.116352	396.2946	421.98095	413.0855	369.5955	299.4775	221.60185	152.1649	119.7718
39.8	132.1804	190.5356	260.958	339.824732	396.1976	421.9882	413.058	369.398	299.086	221.0686	151.5764	119.1808
39.9	131.5901	189.9679	260.4795	339.531948	396.0994	421.99455	413.0295	369.1995	298.6935	220.53465	150.9881	118.5902
40	131	189.4	260	339.238	396	422	413	369	298.3	220	150.4	118
40.1	130.4101	188.8319	259.5195	338.942888	395.8994	422.00455	412.9695	368.7995	297.9055	219.46465	149.8121	117.4102
40.2	129.8204	188.2636	259.038	338.646612	395.7976	422.0082	412.938	368.598	297.51	218.9286	149.2244	116.8208
40.3	129.2309	187.6951	258.5555	338.349172	395.6946	422.01095	412.9055	368.3955	297.1135	218.39185	148.6369	116.2318
40.4	128.6416	187.1264	258.072	338.050568	395.5904	422.0128	412.872	368.192	296.716	217.8544	148.0496	115.6432
40.5	128.0525	186.5575	257.5875	337.7508	395.485	422.01375	412.8375	367.9875	296.3175	217.31625	147.4625	115.055
40.6	127.4636	185.9884	257.102	337.449868	395.3784	422.0138	412.802	367.782	295.918	216.7774	146.8756	114.4672
40.7	126.8749	185.4191	256.6155	337.147772	395.2706	422.01295	412.7655	367.5755	295.5175	216.23785	146.2889	113.8798
40.8	126.2864	184.8496	256.128	336.844512	395.1616	422.0112	412.728	367.368	295.116	215.6976	145.7024	113.2928
40.9	125.6981	184.2799	255.6395	336.540088	395.0514	422.00855	412.6895	367.1595	294.7135	215.15665	145.1161	112.7062
41	125.11	183.71	255.15	336.2345	394.94	422.005	412.65	366.95	294.31	214.615	144.53	112.12
41.1	124.5221	183.1399	254.6595	335.927748	394.8274	422.00055	412.6095	366.7395	293.9055	214.07265	143.9441	111.5342
41.2	123.9344	182.5696	254.168	335.619832	394.7136	421.9952	412.568	366.528	293.5	213.5296	143.3584	110.9488
41.3	123.3469	181.9991	253.6755	335.310752	394.5986	421.98895	412.5255	366.3155	293.0935	212.98585	142.7729	110.3638
