id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
30	258	243	216	182	148	130	137	168	200	232	251	261
30.1	258.05	242.96	215.84	181.73	147.64	129.61	136.62	167.69	199.78	231.91	251.02	261.07
30.2	258.1	242.92	215.68	181.46	147.28	129.22	136.24	167.38	199.56	231.82	251.04	261.14
30.3	258.15	242.88	215.52	181.19	146.92	128.83	135.86	167.07	199.34	231.73	251.06	261.21
30.4	258.2	242.84	215.36	180.92	146.56	128.44	135.48	166.76	199.12	231.64	251.08	261.28
30.5	258.25	242.8	215.2	180.65	146.2	128.05	135.1	166.45	198.9	231.55	251.1	261.35
30.6	258.3	242.76	215.04	180.38	145.84	127.66	134.72	166.14	198.68	231.46	251.12	261.42
30.7	258.35	242.72	214.88	180.11	145.48	127.27	134.34	165.83	198.46	231.37	251.14	261.49
30.8	258.4	242.68	214.72	179.84	145.12	126.88	133.96	165.52	198.24	231.28	251.16	261.56
30.9	258.45	242.64	214.56	179.57	144.76	126.49	133.58	165.21	198.02	231.19	251.18	261.63
31	258.5	242.6	214.4	179.3	144.4	126.1	133.2	164.9	197.8	231.1	251.2	261.7
31.1	258.55	242.56	214.24	179.03	144.04	125.71	132.82	164.59	197.58	231.01	251.22	261.77
31.2	258.6	242.52	214.08	178.76	143.68	125.32	132.44	164.28	197.36	230.92	251.24	261.84
31.3	258.65	242.48	213.92	178.49	143.32	124.93	132.06	163.97	197.14	230.83	251.26	261.91
31.4	258.7	242.44	213.76	178.22	142.96	124.54	131.68	163.66	196.92	230.74	251.28	261.98
31.5	258.75	242.4	213.6	177.95	142.6	124.15	131.3	163.35	196.7	230.65	251.3	262.05
31.6	258.8	242.36	213.44	177.68	142.24	123.76	130.92	163.04	196.48	230.56	251.32	262.12
31.7	258.85	242.32	213.28	177.41	141.88	123.37	130.54	162.73	196.26	230.47	251.34	262.19
31.8	258.9	242.28	213.12	177.14	141.52	122.98	130.16	162.42	196.04	230.38	251.36	262.26
31.9	258.95	242.24	212.96	176.87	141.16	122.59	129.78	162.11	195.82	230.29	251.38	262.33
32	259	242.2	212.8	176.6	140.8	122.2	129.4	161.8	195.6	230.2	251.4	262.4
32.1	259.05	242.16	212.64	176.33	140.44	121.81	129.02	161.49	195.38	230.11	251.42	262.47
32.2	259.1	242.12	212.48	176.06	140.08	121.42	128.64	161.18	195.16	230.02	251.44	262.54
32.3	259.15	242.08	212.32	175.79	139.72	121.03	128.26	160.87	194.94	229.93	251.46	262.61
32.4	259.2	242.04	212.16	175.52	139.36	120.64	127.88	160.56	194.72	229.84	251.48	262.68
32.5	259.25	242	212	175.25	139	120.25	127.5	160.25	194.5	229.75	251.5	262.75
32.6	259.3	241.96	211.84	174.98	138.64	119.86	127.12	159.94	194.28	229.66	251.52	262.82
32.7	259.35	241.92	211.68	174.71	138.28	119.47	126.74	159.63	194.06	229.57	251.54	262.89
32.8	259.4	241.88	211.52	174.44	137.92	119.08	126.36	159.32	193.84	229.48	251.56	262.96
32.9	259.45	241.84	211.36	174.17	137.56	118.69	125.98	159.01	193.62	229.39	251.58	263.03
33	259.5	241.8	211.2	173.9	137.2	118.3	125.6	158.7	193.4	229.3	251.6	263.1
33.1	259.55	241.76	211.04	173.63	136.84	117.91	125.22	158.39	193.18	229.21	251.62	263.17
33.2	259.6	241.72	210.88	173.36	136.48	117.52	124.84	158.08	192.96	229.12	251.64	263.24
33.3	259.65	241.68	210.72	173.09	136.12	117.13	124.46	157.77	192.74	229.03	251.66	263.31
33.4	259.7	241.64	210.56	172.82	135.76	116.74	124.08	157.46	192.52	228.94	251.68	263.38
33.5	259.75	241.6	210.4	172.55	135.4	116.35	123.7	157.15	192.3	228.85	251.7	263.45
33.6	259.8	241.56	210.24	172.28	135.04	115.96	123.32	156.84	192.08	228.76	251.72	263.52
33.7	259.85	241.52	210.08	172.01	134.68	115.57	122.94	156.53	191.86	228.67	251.74	263.59
33.8	259.9	241.48	209.92	171.74	134.32	115.18	122.56	156.22	191.64	228.58	251.76	263.66
33.9	259.95	241.44	209.76	171.47	133.96	114.79	122.18	155.91	191.42	228.49	251.78	263.73
34	260	241.4	209.6	171.2	133.6	114.4	121.8	155.6	191.2	228.4	251.8	263.8
34.1	260.05	241.36	209.44	170.93	133.24	114.01	121.42	155.29	190.98	228.31	251.82	263.87
34.2	260.1	241.32	209.28	170.66	132.88	113.62	121.04	154.98	190.76	228.22	251.84	263.94
34.3	260.15	241.28	209.12	170.39	132.52	113.23	120.66	154.67	190.54	228.13	251.86	264.01
34.4	260.2	241.24	208.96	170.12	132.16	112.84	120.28	154.36	190.32	228.04	251.88	264.08
34.5	260.25	241.2	208.8	169.85	131.8	112.45	119.9	154.05	190.1	227.95	251.9	264.15
34.6	260.3	241.16	208.64	169.58	131.44	112.06	119.52	153.74	189.88	227.86	251.92	264.22
34.7	260.35	241.12	208.48	169.31	131.08	111.67	119.14	153.43	189.66	227.77	251.94	264.29
34.8	260.4	241.08	208.32	169.04	130.72	111.28	118.76	153.12	189.44	227.68	251.96	264.36
34.9	260.45	241.04	208.16	168.77	130.36	110.89	118.38	152.81	189.22	227.59	251.98	264.43
35	260.5	241	208	168.5	130	110.5	118	152.5	189	227.5	252	264.5
35.1	260.55	240.96	207.84	168.23	129.64	110.11	117.62	152.19	188.78	227.41	252.02	264.57
35.2	260.6	240.92	207.68	167.96	129.28	109.72	117.24	151.88	188.56	227.32	252.04	264.64
35.3	260.65	240.88	207.52	167.69	128.92	109.33	116.86	151.57	188.34	227.23	252.06	264.71
35.4	260.7	240.84	207.36	167.42	128.56	108.94	116.48	151.26	188.12	227.14	252.08	264.78
35.5	260.75	240.8	207.2	167.15	128.2	108.55	116.1	150.95	187.9	227.05	252.1	264.85
35.6	260.8	240.76	207.04	166.88	127.84	108.16	115.72	150.64	187.68	226.96	252.12	264.92
35.7	260.85	240.72	206.88	166.61	127.48	107.77	115.34	150.33	187.46	226.87	252.14	264.99
35.8	260.9	240.68	206.72	166.34	127.12	107.38	114.96	150.02	187.24	226.78	252.16	265.06
35.9	260.95	240.64	206.56	166.07	126.76	106.99	114.58	149.71	187.02	226.69	252.18	265.13
36	261	240.6	206.4	165.8	126.4	106.6	114.2	149.4	186.8	226.6	252.2	265.2
36.1	261.05	240.56	206.24	165.53	126.04	106.21	113.82	149.09	186.58	226.51	252.22	265.27
